first,sixteen,eight,four,final,champion
Duke,Duke,Duke,,,
Duke,Duke,,,,
Duke,,Wake Forest,,,
Duke,Virginia,,,,
Georgia Tech,Wake Forest,Louisville,,,
Georgia Tech,Wake Forest,,,,
Virginia,,Clemson,,,
Virginia,UNC,,,,
Wake Forest,Louisville,,,,
Wake Forest,Louisville,,,,
Wake Forest,,,,,
Wake Forest,Stanford,,,,
Notre Dame,Clemson,,,,
Pitt,Clemson,,,,
UNC,,,,,
UNC,SMU,,,,
Louisville,,,,,
Louisville,,,,,
Louisville,,,,,
Louisville,,,,,
Virginia Tech,,,,,
California,,,,,
Stanford,,,,,
Stanford,,,,,
Clemson,,,,,
Clemson,,,,,
Clemson,,,,,
Clemson,,,,,
Florida State,,,,,
Syracuse,,,,,
SMU,,,,,
SMU,,,,,
