first,second,eight,four,final,champion
South Carolina,Arkansas,Ole Miss,Auburn,,
Arkansas,Ole Miss,Auburn,Tennessee,,
Ole Miss,Auburn,Texas,Florida,,
Ole Miss,Auburn,Tennessee,Alabama,,
Auburn,Texas,Missouri,,,
Auburn,Texas A&M,Florida,,,
Auburn,Tennessee,Kentucky,,,
Auburn,Tennessee,Alabama,,,
Texas,Mississippi State,,,,
Vanderbilt,Missouri,,,,
Texas A&M,Florida,,,,
Texas A&M,Florida,,,,
Tennessee,Oklahoma,,,,
Tennessee,Kentucky,,,,
Tennessee,Alabama,,,,
Tennessee,Alabama,,,,
LSU,,,,,
Mississippi State,,,,,
Missouri,,,,,
Missouri,,,,,
Florida,,,,,
Florida,,,,,
Florida,,,,,
Florida,,,,,
Oklahoma,,,,,
Georgia,,,,,
Kentucky,,,,,
Kentucky,,,,,
Alabama,,,,,
Alabama,,,,,
Alabama,,,,,
Alabama,,,,,
