first,second,sixteen,eight,four,final,champion
Pepperdine,Pepperdine,Pepperdine,Pepperdine,Pepperdine,Saint Mary's,Gonzaga
Pepperdine,Portland,Oregon State,Santa Clara,Saint Mary's,Gonzaga,
Portland,Oregon State,Santa Clara,Saint Mary's,Gonzaga,,
Portland,Oregon State,Santa Clara,Saint Mary's,San Francisco,,
Oregon State,Santa Clara,Saint Mary's,Gonzaga,,,
Oregon State,Santa Clara,Saint Mary's,Gonzaga,,,
Oregon State,Santa Clara,Saint Mary's,San Francisco,,,
Oregon State,Santa Clara,Saint Mary's,Washington State,,,
Santa Clara,Saint Mary's,Gonzaga,,,,
Santa Clara,Saint Mary's,Gonzaga,,,,
Santa Clara,Saint Mary's,Gonzaga,,,,
Santa Clara,Saint Mary's,Gonzaga,,,,
Santa Clara,Saint Mary's,San Francisco,,,,
Santa Clara,Saint Mary's,San Francisco,,,,
Santa Clara,Saint Mary's,Washington State,,,,
Santa Clara,Saint Mary's,Loyola Marymount,,,,
Saint Mary's,Gonzaga,,,,,
Saint Mary's,Gonzaga,,,,,
Saint Mary's,Gonzaga,,,,,
Saint Mary's,Gonzaga,,,,,
Saint Mary's,Gonzaga,,,,,
Saint Mary's,Gonzaga,,,,,
Saint Mary's,Gonzaga,,,,,
Saint Mary's,Gonzaga,,,,,
Saint Mary's,San Francisco,,,,,
Saint Mary's,San Francisco,,,,,
Saint Mary's,San Francisco,,,,,
Saint Mary's,San Francisco,,,,,
Saint Mary's,Washington State,,,,,
Saint Mary's,Washington State,,,,,
Saint Mary's,Loyola Marymount,,,,,
Saint Mary's,San Diego,,,,,
Gonzaga,,,,,,
Gonzaga,,,,,,
Gonzaga,,,,,,
Gonzaga,,,,,,
Gonzaga,,,,,,
Gonzaga,,,,,,
Gonzaga,,,,,,
Gonzaga,,,,,,
Gonzaga,,,,,,
Gonzaga,,,,,,
Gonzaga,,,,,,
Gonzaga,,,,,,
Gonzaga,,,,,,
Gonzaga,,,,,,
Gonzaga,,,,,,
Gonzaga,,,,,,
San Francisco,,,,,,
San Francisco,,,,,,
San Francisco,,,,,,
San Francisco,,,,,,
San Francisco,,,,,,
San Francisco,,,,,,
San Francisco,,,,,,
San Francisco,,,,,,
Washington State,,,,,,
Washington State,,,,,,
Washington State,,,,,,
Washington State,,,,,,
Loyola Marymount,,,,,,
Loyola Marymount,,,,,,
Pacific,,,,,,
San Diego,,,,,,
