first,second,eight,four,final,champion
UNC,UNC,,,,
UNC,UNC,,,,
UNC,Virginia Tech,,,,
UNC,Florida State,,,,
Virginia Tech,Pitt,,,,
Virginia Tech,Pitt,,,,
Florida State,Notre Dame,,,,
Florida State,Wake Forest,,,,
Pitt,Duke,,,,
Pitt,Duke,,,,
Pitt,NC State,,,,
Pitt,Syracuse,,,,
Notre Dame,Virginia,,,,
Georgia Tech,Virginia,,,,
Wake Forest,Boston College,,,,
Wake Forest,Clemson,,,,
Duke,,,,,
Duke,,,,,
Duke,,,,,
Duke,,,,,
NC State,,,,,
Louisville,,,,,
Syracuse,,,,,
Syracuse,,,,,
Virginia,,,,,
Virginia,,,,,
Virginia,,,,,
Virginia,,,,,
Boston College,,,,,
Miami (FL),,,,,
Clemson,,,,,
Clemson,,,,,
