first,second,eight,four,final,champion
Minnesota,Minnesota,XXX,XXX,XXX,XXX
Minnesota,Michigan State,Purdue,XXX,XXX,
Michigan State,Purdue,XXX,XXX,,
Michigan State,Purdue,Northwestern,XXX,,
Purdue,Maryland,XXX,,,
Purdue,Wisconsin,Illinois,,,
Purdue,Northwestern,XXX,,,
Purdue,Northwestern,Nebraska,,,
Rutgers,Ohio State,,,,
Maryland,Iowa,,,,
Wisconsin,Illinois,,,,
Wisconsin,Illinois,,,,
Northwestern,Penn State,,,,
Northwestern,Indiana,,,,
Northwestern,Nebraska,,,,
Northwestern,Nebraska,,,,
Ohio State,,,,,
Ohio State,,,,,
Iowa,,,,,
Iowa,,,,,
Illinois,,,,,
Illinois,,,,,
Illinois,,,,,
Illinois,,,,,
Michigan,,,,,
Penn State,,,,,
Indiana,,,,,
Indiana,,,,,
Nebraska,,,,,
Nebraska,,,,,
Nebraska,,,,,
Nebraska,,,,,
