first,second,eight,four,final,champion
Mississippi State,Mississippi State,XXX,XXX,XXX,XXX
Mississippi State,LSU,Tennessee,XXX,XXX,
LSU,Tennessee,XXX,XXX,,
LSU,Tennessee,Auburn,XXX,,
Tennessee,Arkansas,XXX,,,
Tennessee,South Carolina,Kentucky,,,
Tennessee,Auburn,XXX,,,
Tennessee,Auburn,Alabama,,,
Vanderbilt,Ole Miss,,,,
Arkansas,Texas A&M,,,,
South Carolina,Kentucky,,,,
South Carolina,Kentucky,,,,
Auburn,Georgia,,,,
Auburn,Florida,,,,
Auburn,Alabama,,,,
Auburn,Alabama,,,,
Ole Miss,,,,,
Ole Miss,,,,,
Texas A&M,,,,,
Texas A&M,,,,,
Kentucky,,,,,
Kentucky,,,,,
Kentucky,,,,,
Kentucky,,,,,
Missouri,,,,,
Georgia,,,,,
Florida,,,,,
Florida,,,,,
Alabama,,,,,
Alabama,,,,,
Alabama,,,,,
Alabama,,,,,
