Cairn,Philadelphia Biblical
Carolina,Piedmont International
Champion Christian,Champion Baptist
Grace Christian University,Grace Bible College
Johnson (Fl),Florida Christian College
Johnson State,Northern Vermont-Johnson
Kansas City,Kansas City
Massachusetts Liberal Arts,Massachusetts College
Old Westbury,SUNY-Old Westbury
Purchase College,SUNY-Purchase
St. Elizabeth,College of Saint Elizabeth
St. Thomas (MN),St. Thomas
TCNJ,New Jersey
Texas Southern,TX Southern
Texas-Rio Grande Valley,TX-Pan Am
UNC,North Carolina
Westminster (PA),Westminster
Westminster (UT),Westminster College
Abilene Christian,Abl Christian
Academy of Art,Academy of Art
Air Force,Air Force
Akron,Akron
Alabama A&M,Alabama A&M
Alabama,Alabama
Alabama State,Alabama St
Albany (NY),Albany
Albany State (GA),Albany State (GA)
Albertus Magnus,Albertus Magnus College
Alcorn State,Alcorn St
Alice Lloyd,Alice Lloyd
Allen,Allen
Alma,Alma College
American,American
Anderson (IN),Anderson (IN)
Anderson (SC),Anderson (SC)
Antelope Valley,Antelope Valley
Appalachian State,App State
Little Rock,AR Lit Rock
Arcadia,Arcadia
Arizona,Arizona
Arizona State,Arizona St
Arkansas-Pine Bluff,AR-Pine Bluff
Arkansas,Arkansas
Arkansas Baptist,Arkansas Baptist
Arkansas State,Arkansas St
Arlington Baptist,Arlington Baptist College
Army,Army
Auburn,Auburn
Aurora,Aurora
Austin Peay,Austin Peay
Ave Maria,Ave Maria
Baldwin-Wallace,Baldwin-Wallace College
Ball State,Ball State
Baylor,Baylor
Belhaven (MS),Belhaven College
Bellarmine,Bellarmine
Belmont,Belmont
Benedictine,Benedictine University (AZ)
Bethune-Cookman,Beth-Cook
Bethel (TN),Bethel (TN)
Bethesda University (CA),Bethesda University
Binghamton,Binghamton
Blackburn,Blackburn
Blue Mountain College,Blue Mountain College
Bluffton,Bluffton College
Bob Jones University,Bob Jones
Boise State,Boise St
Boston College,Boston College
Boston University,Boston U
Bowling Green State,Bowling Grn
Boyce,Boyce
Bradley,Bradley
Brandeis,Brandeis
Brescia,Brescia
Brevard,Brevard
Brewton-Parker,Brewton Parker College
Bridgewater (VA),Bridgewater (VA)
Brown,Brown
Bryan,Bryan
Bryant,Bryant
Bryn Athyn,Bryn Athyn
Bucknell,Bucknell
Buffalo,Buffalo
Bushnell,Bushnell
Butler,Butler
BYU,BYU
California Baptist,Cal Baptist
Cal State Maritime,Cal Maritime
Cal Poly,Cal Poly
Cal State Northridge,Cal St Nrdge
Cal State East Bay,Cal. State - East Bay
Cal State Los Angeles,Cal. State - Los Angeles
California,California
Calumet College,Calumet
Calvary,Calvary University
Campbell,Campbell
Campbellsville,Campbellsville-Harrodsburg
Canisius,Canisius
Cardinal Stritch,Cardinal Stritch
Carlow,Carlow University
Cazenovia,Cazenovia College
Centenary (LA),Centenary
Centenary (NJ),Centenary (N.J.)
Central Arkansas,Central Ark
Central Baptist,Central Baptist
Central Connecticut,Central Conn
UCF,UCF
Central Michigan,C Michigan
Chaminade,Chaminade
Chapman,Chapman
Charleston Southern,Charl South
Charlotte,Charlotte
Chattanooga,Chattanooga
Chicago State,Chicago St
Cincinnati,Cincinnati
Cincinnati-Clermont,Cincinnati Clermont
The Citadel,Citadel
Clark (MA),Clark
Clarks Summit,Clarks Summit
Clayton State,Clayton State
Clemson,Clemson
Cleveland State,Cleveland St
Clinton College,Clinton College
Coast Guard,Coast Guard Academy
Coastal Carolina,Coastal Car
Coastal Georgia,Coastal Georgia
College of Charleston,Col Charlestn
Colby-Sawyer,Colby-Sawyer
Colgate,Colgate
Colorado,Colorado
Colorado Christian,Colorado Christian
Colorado College,Colorado College
Colorado State,Colorado St
Columbia,Columbia
Columbia International,Columbia International
Concord,Concord College
Concordia (MI),Concordia (MI)
UConn,UConn
Coppin State,Coppin St
Cornell,Cornell
Covenant,Covenant
Creighton,Creighton
Crowley's Ridge,Crowley's Ridge College
Crown (MN),Crown College
Cal State Bakersfield,CS Bakersfield
Cal State Fullerton,CS Fullerton
D'Youville,D'Youville
Dakota State,Dakota State
Dallas Christian,Dallas Christian
Dartmouth,Dartmouth
Davidson,Davidson
Davis & Elkins,Davis & Elkins
Dayton,Dayton
Dean,Dean
Defiance,Defiance
Delaware,Delaware
Delaware State,Delaware St
Denver,Denver
DePaul,DePaul
Detroit,Detroit
Dillard,Dillard
District of Columbia,District of Columbia
Drake,Drake
Drexel,Drexel
Duke,Duke
Duquesne,Duquesne
East Carolina,E Carolina
Eastern Illinois,E Illinois
Eastern Kentucky,E Kentucky
Eastern Michigan,E Michigan
ETSU,E Tenn St
Eastern Washington,E Washingtn
Earlham,Earlham
East-West,East-West University
Eastern Nazarene,Eastern Nazarene
Eastern Oregon,Eastern Oregon
Ecclesia,Ecclesia College
Edward Waters,Edward Waters
Elon,Elon
Emerson,Emerson
Emory & Henry,Emory & Henry
Erskine,Erskine
Eureka,Eureka
Evansville,Evansville
Fairleigh Dickinson,F Dickinson
Fairfield,Fairfield
Fairmont State,Fairmont State
Fairleigh Dickinson-Florham,FDU-Florham
Fisher College,Fisher College
Fisk,Fisk
Florida Atlantic,Fla Atlantic
Florida Gulf Coast,FGCU
Florida,Florida
Florida A&M,Florida A&M
Florida College,Florida College
Florida International,Florida Intl
Florida National University,Florida National
Florida State,Florida St
Florida Tech,Florida Tech
Fordham,Fordham
Framingham State,Framingham State University
Franciscan,Franciscan University
Franklin,Franklin College
Fredonia State,Fredonia St.
Fresno Pacific,Fresno Pacific
Fresno State,Fresno St
Furman,Furman
Georgia Southern,GA Southern
Georgia Tech,GA Tech
Gallaudet,Gallaudet University
Gardner-Webb,Gard-Webb
George Mason,George Mason
George Washington,Geo Wshgtn
Georgetown,Georgetown
Georgia,Georgia
Georgia College,Georgia College St. & U
Georgia Southwestern,Georgia Southwestern State
Georgia State,Georgia St
Georgian Court,Georgian Court
Glenville State,Glenville St.
Gonzaga,Gonzaga
Goshen,Goshen
Goucher,Goucher
Grambling,Grambling St
Grand Canyon,Grand Canyon
Greensboro,Greensboro
Guilford,Guilford
Gwynedd-Mercy,Gwynedd-Mercy
Hampton,Hampton
Hannibal-LaGrange,Hannibal LaGrange College
Hardin-Simmons,Hardin-Simmons
Harding,Harding
Harris-Stowe,Harris-Stowe State
Hartford,Hartford
Harvard,Harvard
Hawaii,Hawaii
Hawaii Pacific,Hawaii Pacific
Hendrix,Hendrix College
High Point,High Point
Hofstra,Hofstra
Holy Cross,Holy Cross
Holy Names,Holy Names
Houghton,Houghton
Houston,Houston
Howard,Howard
Howard Payne,Howard Payne
Houston Christian,Hsn Christian
Huston-Tillotson,Huston-Tillotson
Idaho,Idaho
Idaho State,Idaho St
IU Indy,IU Indy
UIC,IL-Chicago
Illinois,Illinois
Illinois State,Illinois St
Illinois Tech,Illinois Tech
Immaculata,Immaculata
Incarnate Word,Incar Word
Indiana,Indiana
Indiana State,Indiana St
Indianapolis,Indianapolis
Iona,Iona
Iowa,Iowa
Iowa State,Iowa St
Iowa Wesleyan,Iowa Wesleyan
Purdue-Fort Wayne,IPFW
Ithaca,Ithaca College
Indiana-South Bend,IU-SouthBend
IUPUI,IUPUI
Jackson State,Jackson St
Jacksonville,Jacksonville
James Madison,J Madison
Jarvis Christian,Jarvis Christian
Jacksonville State,Jacksonville St
John Brown,John Brown
John Jay,John Jay College
Johnson & Wales (NC),Johnson & Wales (NC)
Johnson & Wales (RI),Johnson & Wales U. (RI)
Johnson University,Johnson University
Kansas,Kansas
Kansas Christian,Kansas Christian
Kansas State,Kansas St
Kean,Kean
Kennesaw State,Kennesaw St
Kent State,Kent St
Kentucky,Kentucky
Kentucky Christian,Kentucky Christian
Kentucky State,Kentucky State
Keystone,Keystone
Knox,Knox
LaGrange,La Grange
Louisiana,Louisiana
Louisiana-Monroe,UL Monroe
La Salle,La Salle
La Sierra,La Sierra University
Louisiana Tech,LA Tech
La Verne,La Verne
Lafayette,Lafayette
Lamar,Lamar
Lane,Lane College
LeTourneau,Le Tourneau
Lebanon Valley,Lebanon Valley
Lees-McRae,Lees-McRae
Lehigh,Lehigh
Le Moyne,Le Moyne
Lewis & Clark,Lewis & Clark
Long Beach State,Lg Beach St
Liberty,Liberty
Life Pacific,Life Pacific
Lincoln (PA),Lincoln
Lincoln (MO),Lincoln (MO)
Lindenwood,Lindenwood
Lindsey Wilson,Lindsey Wilson
Lipscomb,Lipscomb
LIU,LIU
Longwood,Longwood
Loras,Loras
Louisiana College,Louisiana College
Louisville,Louisville
Lourdes,Lourdes
Loyola (LA),Loyola (LA)
Loyola Marymount,Loyola Mymt
Loyola (IL),Loyola Chi
Loyola (MD),Loyola MD
LSU,LSU
Louisiana State-Alexandria,LSU-Alexandria
Lynchburg,Lynchburg College
Lyndon State,Lyndon State
Lynn,Lynn
Lyon,Lyon
Maine,Maine
Maine-Augusta,Maine-Augusta
Maine-Fort Kent,Maine-Fort Kent
Manchester,Manchester
Manhattan,Manhattan
Marist,Marist
Marquette,Marquette
Mars Hill,Mars Hill
Marshall,Marshall
Mary Baldwin,Mary Baldwin
Mary Hardin-Baylor,Mary Hardin-Baylor
Maryland,Maryland
UMBC,UMBC
Maryland-Eastern Shore,Maryland ES
Maryville (TN),Maryville (TN)
UMass-Lowell,UMass Lowell
Master's,Master's College
McDaniel,McDaniel College
McMurry,McMurry
McNeese State,McNeese
Medgar Evers,Medgar Evers
Memphis,Memphis
Menlo,Menlo College
Mercer,Mercer
Merchant Marine Academy,Merchant Marine Academy
Mercy,Mercy College
Mercyhurst,Mercyhurst
Merrimack,Merrimack
Methodist,Methodist
Miami,Miami
Miami (FL),Miami
Miami (OH),Miami OH
Miami Middletown,Miami (OH) - Middletown
Miami-Hamilton,Miami-Hamilton
Michigan,Michigan
Michigan State,Michigan St
Mid-America Christian,Mid-America Christian
Mid-Atlantic Christian,Mid-Atlantic Christian
Middle Georgia State,Middle Georgia St.
Middle Tennessee,Middle Tenn
Midland Lutheran,Midland Lutheran
Milligan,Milligan
Milwaukee,WI-Milwkee
Minnesota,Minnesota
Misericordia,Misericordia
Mississippi State,Mississippi St
Mississippi Valley State,Miss Val St
Ole Miss,Mississippi
Mississippi College,Mississippi College
Mississippi University for Women,Mississippi Univ. For Women
Missouri,Missouri
Missouri S&T,Missouri S&T
Missouri State,Missouri St
Mobile,Mobile
Monmouth,Monmouth
Montana,Montana
Montana State,Montana St
Montana State-Northern,Montana St.-Northern
Montana Western,Montana Western
Montevallo,Montevallo
Montreat,Montreat
Morehead State,Morehead St
Morehouse,Morehouse
Morgan State,Morgan St
Morris College,Morris College
Mount Marty,Mount Marty
Mount Olive,Mount Olive
Mt. St. Mary (NY),Mount Saint Mary College
Mount Saint Vincent,Mount St. Vincent
Mount St. Mary's,Mt St Mary's
Multnomah,Multnomah
Murray State,Murray St
Muskingum,Muskingum
North Alabama,N Alabama
Northern Arizona,N Arizona
Northern Colorado,N Colorado
North Dakota State,N Dakota St
North Florida,N Florida
New Hampshire,New Hampshire
Northern Illinois,N Illinois
Northern Iowa,N Iowa
Northern Kentucky,N Kentucky
New Mexico State,New Mexico St
Navy,Navy
North Carolina A&T,NC A&T
North Carolina Central,NC Central
NC State,NC State
UNC Asheville,NC Asheville
UNC Greensboro,NC Greensboro
UNC Wilmington,NC Wilmington
Omaha,Omaha
Nebraska,Nebraska
Neumann,Neumann
Nevada,Nevada
New England,New England Nor'easters
New Mexico,New Mexico
New Mexico Highlands,New Mexico Highlands
New Orleans,New Orleans
Niagara,Niagara
