first,second,sixteen,eight,four,final,champion
Villanova,Villanova,Wisconsin,Florida,South Carolina,Gonzaga,UNC
Mount St. Mary's,Wisconsin,Florida,South Carolina,Gonzaga,UNC,
Wisconsin,Virginia,Baylor,Gonzaga,Oregon,,
Virginia Tech,Florida,South Carolina,Xavier,UNC,,
Virginia,USC,Gonzaga,Kansas,,,
UNC Wilmington,Baylor,West Virginia,Oregon,,,
Florida,South Carolina,Xavier,UNC,,,
ETSU,Duke,Arizona,Kentucky,,,
SMU,Gonzaga,Kansas,,,,
USC,Northwestern,Purdue,,,,
Baylor,Notre Dame,Oregon,,,,
New Mexico State,West Virginia,Michigan,,,,
South Carolina,Xavier,UNC,,,,
Marquette,Florida State,Butler,,,,
Duke,Saint Mary's,UCLA,,,,
Troy,Arizona,Kentucky,,,,
Gonzaga,Kansas,,,,,
South Dakota State,Michigan State,,,,,
Northwestern,Iowa State,,,,,
Vanderbilt,Purdue,,,,,
Notre Dame,Rhode Island,,,,,
Princeton,Oregon,,,,,
West Virginia,Michigan,,,,,
Bucknell,Louisville,,,,,
Maryland,UNC,,,,,
Xavier,Arkansas,,,,,
Florida State,Middle Tennessee,,,,,
Florida Gulf Coast,Butler,,,,,
Saint Mary's,Cincinnati,,,,,
VCU,UCLA,,,,,
Arizona,Wichita State,,,,,
North Dakota,Kentucky,,,,,
Kansas,,,,,,
UC-Davis,,,,,,
Miami (FL),,,,,,
Michigan State,,,,,,
Iowa State,,,,,,
Nevada,,,,,,
Purdue,,,,,,
Vermont,,,,,,
Creighton,,,,,,
Rhode Island,,,,,,
Oregon,,,,,,
Iona,,,,,,
Michigan,,,,,,
Oklahoma State,,,,,,
Louisville,,,,,,
Jacksonville State,,,,,,
UNC,,,,,,
Texas Southern,,,,,,
Arkansas,,,,,,
Seton Hall,,,,,,
Minnesota,,,,,,
Middle Tennessee,,,,,,
Butler,,,,,,
Winthrop,,,,,,
Cincinnati,,,,,,
Kansas State,,,,,,
UCLA,,,,,,
Kent State,,,,,,
Dayton,,,,,,
Wichita State,,,,,,
Kentucky,,,,,,
Northern Kentucky,,,,,,
