play_in,first,second,sixteen,eight,four,final,champion
Duke,Duke,Duke,Duke,,,,
Duke,Siena,Duke,,,,,
Siena,Ohio State,St. John's (NY),Michigan State,,,,
Siena,TCU,Kansas,,,,,
Ohio State,St. John's (NY),Michigan State,,,,,
Ohio State,Northern Iowa,Michigan State,Nebraska,,,,
TCU,Kansas,UCLA,Illinois,,,,
TCU,California Baptist,UConn,Houston,,,,
St. John's (NY),Louisville,Florida,,,,,
St. John's (NY),South Florida,Iowa,Arkansas,,,,
Northern Iowa,Michigan State,Nebraska,Texas,,,,
Northern Iowa,North Dakota State,Nebraska,,,,,
Kansas,UCLA,Illinois,Michigan,,,,
Kansas,UCF,Illinois,,,,,
California Baptist,UConn,Houston,,,,,
California Baptist,Furman,Houston,,,,,
Louisville,Florida,Arizona,,,,,
Louisville,Prairie View,Utah State,,,,,
South Florida,Clemson,Arkansas,,,,,
South Florida,Iowa,Arkansas,,,,,
Michigan State,Vanderbilt,Texas,,,,,
Michigan State,McNeese State,Texas,,,,,
North Dakota State,Nebraska,Miami (FL),,,,,
North Dakota State,Troy,Purdue,,,,,
UCLA,UNC,Michigan,,,,,
UCLA,VCU,Michigan,,,,,
UCF,Illinois,Texas Tech,,,,,
UCF,Penn,Alabama,,,,,
UConn,Saint Mary's,Tennessee,,,,,
UConn,Texas A&M,Virginia,,,,,
Furman,Houston,Kentucky,,,,,
Furman,Idaho,Iowa State,,,,,
Florida,Arizona,,,,,,
Florida,LIU,,,,,,
Prairie View,Villanova,,,,,,
Lehigh,Utah State,,,,,,
Clemson,Wisconsin,,,,,,
Clemson,High Point,,,,,,
Iowa,Arkansas,,,,,,
Iowa,Hawaii,,,,,,
Vanderbilt,Texas,,,,,,
Vanderbilt,BYU,,,,,,
McNeese State,Gonzaga,,,,,,
McNeese State,Kennesaw State,,,,,,
Nebraska,Miami (FL),,,,,,
Nebraska,Missouri,,,,,,
Troy,Purdue,,,,,,
Troy,Queens (NC),,,,,,
UNC,Michigan,,,,,,
UNC,Howard,,,,,,
VCU,Georgia,,,,,,
VCU,Saint Louis,,,,,,
Illinois,Texas Tech,,,,,,
Illinois,Akron,,,,,,
Penn,Alabama,,,,,,
Penn,Hofstra,,,,,,
Saint Mary's,Tennessee,,,,,,
Saint Mary's,Miami (OH),,,,,,
Texas A&M,Virginia,,,,,,
Texas A&M,Wright State,,,,,,
Houston,Kentucky,,,,,,
Houston,Santa Clara,,,,,,
Idaho,Iowa State,,,,,,
Idaho,Tennessee State,,,,,,
Arizona,,,,,,,
Arizona,,,,,,,
LIU,,,,,,,
LIU,,,,,,,
Villanova,,,,,,,
Villanova,,,,,,,
Utah State,,,,,,,
Utah State,,,,,,,
Wisconsin,,,,,,,
Wisconsin,,,,,,,
High Point,,,,,,,
High Point,,,,,,,
Arkansas,,,,,,,
Arkansas,,,,,,,
Hawaii,,,,,,,
Hawaii,,,,,,,
Texas,,,,,,,
NC State,,,,,,,
BYU,,,,,,,
BYU,,,,,,,
Gonzaga,,,,,,,
Gonzaga,,,,,,,
Kennesaw State,,,,,,,
Kennesaw State,,,,,,,
Miami (FL),,,,,,,
Miami (FL),,,,,,,
Missouri,,,,,,,
Missouri,,,,,,,
Purdue,,,,,,,
Purdue,,,,,,,
Queens (NC),,,,,,,
Queens (NC),,,,,,,
Michigan,,,,,,,
Michigan,,,,,,,
UMBC,,,,,,,
Howard,,,,,,,
Georgia,,,,,,,
Georgia,,,,,,,
Saint Louis,,,,,,,
Saint Louis,,,,,,,
Texas Tech,,,,,,,
Texas Tech,,,,,,,
Akron,,,,,,,
Akron,,,,,,,
Alabama,,,,,,,
Alabama,,,,,,,
Hofstra,,,,,,,
Hofstra,,,,,,,
Tennessee,,,,,,,
Tennessee,,,,,,,
Miami (OH),,,,,,,
SMU,,,,,,,
Virginia,,,,,,,
Virginia,,,,,,,
Wright State,,,,,,,
Wright State,,,,,,,
Kentucky,,,,,,,
Kentucky,,,,,,,
Santa Clara,,,,,,,
Santa Clara,,,,,,,
Iowa State,,,,,,,
Iowa State,,,,,,,
Tennessee State,,,,,,,
Tennessee State,,,,,,,
