Buffalo,-11,Eastern Michigan,20220217,161200
Minnesota,+6,Penn State,20220217,161200
Towson,-3,UNCW,20220217,161200
Troy,+3.5,Appalachian State,20220217,161200
Michigan,+5.5,Iowa,20220217,161200
Northern Illinois,+12,Akron,20220217,161200
Austin Peay,+18.5,Murray State,20220217,161200
IUPUI,+14.5,Robert Morris,20220217,161200
UNC Greensboro,+8.5,Chattanooga,20220217,161200
Wichita State,+2,Cincinnati,20220217,161200
Georgia Southern,+10,Georgia State,20220217,161200
Central Connecticut State,+13,Bryant,20220217,161200
Delaware,-3.5,Elon,20220217,161200
UIC,+5.5,Youngstown State,20220217,161200
North Texas,-2,Florida Atlantic,20220217,161200
Wagner,-8.5,Sacred Heart,20220217,161200
Middle Tennessee,-4,FIU,20220217,161200
South Alabama,-1.5,Coastal Carolina,20220217,161200
Saint Francis Brooklyn,+6.5,Mount Saint Marys,20220217,161200
East Carolina,+1,South Florida,20220217,161200
Fairleigh Dickinson,+7.5,Merrimack,20220217,161200
LIU,-3,Saint Francis PA,20220217,161200
Oregon State,+24,Arizona,20220217,161200
UTEP,+9.5,Louisiana Tech,20220217,161200
Abilene Christian,+1.5,Sam Houston,20220217,161200
Louisiana-Lafayette,-3.5,ULM,20220217,161200
Eastern Illinois,+27,Belmont,20220217,161200
Western Illinois,+12.5,South Dakota State,20220217,161200
Rice,+14,UAB,20220217,161200
Saint Thomas MN,+10.5,South Dakota,20220217,161200
Charlotte,+8.5,Western Kentucky,20220217,161200
Little Rock,+10,UT Arlington,20220217,161200
McNeese,+9.5,Nicholls State,20220217,161200
Oral Roberts,+2,North Dakota State,20220217,161200
Kansas City,-4.5,North Dakota,20220217,161200
Arkansas State,+5.5,Texas State,20220217,161200
Denver,-1.5,Omaha,20220217,161200
UTSA,+2,Southern Mississippi,20220217,161200
Southeast Missouri State,+3.5,Tennessee Tech,20220217,161200
Southeastern Louisiana,+5,A&M-Corpus Christi,20220217,161200
Northwestern State,+1,UIW,20220217,161200
SIUE,+5,Tennessee State,20220217,161200
UCF,+13.5,Houston,20220217,161200
Oregon,-4.5,Arizona State,20220217,161200
Sacramento State,+15.5,Weber State,20220217,161200
Colorado State,-7.5,New Mexico,20220217,161200
Montana,-7,Idaho,20220217,161200
Northern Colorado,-7.5,Idaho State,20220217,161200
Montana State,-2,Eastern Washington,20220217,161200
Colorado,-2,California,20220217,161200
San Francisco,+3,Saint Marys,20220217,161200
Creighton,+2.5,DePaul,20220217,161200
Santa Clara,-5.5,LMU,20220217,161200
Long Beach State,-6,CSUN,20220217,161200
Northern Arizona,+6,Portland State,20220217,161200
CSU Bakersfield,+7,UC Riverside,20220217,161200
Hawaii,-2.5,UC San Diego,20220217,161200
San Diego,+2.5,Portland,20220217,161200
Cal State Fullerton,+5.5,UC Santa Barbara,20220217,161200
Washington State,+9.5,UCLA,20220217,161200
Utah,+4,Stanford,20220217,161200
Washington,+11.5,USC,20220217,161200
Nevada,-8,San Jose State,20220217,161200
