Eastern Illinois, 12 ,Little Rock,20250127,140755
Southern Miss, 11.5 ,Troy,20250127,140755
Bethune-Cookman, -2.5 ,Alcorn State,20250127,140755
Penn State, 9 ,Michigan,20250127,140755
Grambling State, -6 ,Arkansas-Pine Bluff,20250127,140755
Holy Cross, 4 ,Boston University,20250127,140755
Houston Christian, 6.5 ,Southeastern Louisiana,20250127,140755
South Alabama, -12.5 ,Louisiana-Monroe,20250127,140755
Nicholls State, 1.5 ,UT Rio Grande Valley,20250127,140755
Iowa, 8 ,Ohio State,20250127,140755
Incarnate Word, -4 ,New Orleans,20250127,140755
Florida A&M, 9 ,Jackson State,20250127,140755
Northwestern State, 3.5 ,Lamar,20250127,140755
McNeese, -7.5 ,Texas A&M-Corpus Christi,20250127,140755
North Carolina State, 21.5 ,Duke,20250127,140755
Southern University, -22 ,Mississippi Valley State,20250127,140755
East Texas A&M, 8 ,Stephen F. Austin,20250127,140755
Prairie View A&M, 1 ,Alabama A&M,20250127,140755
Texas Southern, 2 ,Alabama State,20250127,140755
Towson, 1 ,Northeastern,20250127,140755
UCLA, -1 ,USC,20250127,140755
Iowa State, 1.5 ,Arizona,20250127,140755
