Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
1114,721,V,William&Mary,18,27,45,134.5,140,3600,72.5
1114,722,H,Florida,42,26,68,20,18,-6400,5.5
1114,723,V,VaCommonwealth,48,37,85,4.5,8,-370,0.5
1114,724,H,Tennessee,30,39,69,142,143,300,77.5
1114,725,V,MinnesotaU,30,38,68,142,140,365,75.5
1114,726,H,Louisville,43,38,81,7,9.5,-465,2
1114,727,V,Cornell,34,34,68,NL,NL,650,NL
1114,728,H,GeorgeMason,31,29,60,15,12.5,-900,8
1114,729,V,Virginia,51,28,79,16,16.5,-1703,5.5
1114,730,H,JamesMadison,33,18,51,NL,NL,1247,NL
1114,731,V,Georgia,32,41,73,NL,NL,100,2
1114,732,H,GeorgiaTech,42,38,80,1,1,-120,NL
1114,733,V,FlaAtlantic,37,21,58,NL,NL,100,NL
1114,734,H,Elon,32,32,64,2.5,1.5,-120,2
1114,735,V,Oakland,38,44,82,NL,NL,4250,NL
1114,736,H,IowaState,45,48,93,19,20,-7750,9
1114,737,V,GeorgiaSouthern,31,40,71,NL,NL,5475,NL
1114,738,H,Illinois,31,49,80,21,23,-10025,12
1114,739,V,CalSantaBarb,23,36,59,NL,NL,1132,NL
1114,740,H,Kansas,31,38,69,16,16.5,-1518,7.5
1114,741,V,UTArlington,48,38,86,NL,NL,165,NL
1114,742,H,Bradley,29,46,75,5.5,4.5,-190,6.5
1114,743,V,Drexel,29,19,48,132.5,134,930,70.5
1114,744,H,Colorado,33,32,65,14,14.5,-1380,7
1114,745,V,Towson,30,24,54,136,131.5,940,71
1114,746,H,Alabama,39,43,82,14.5,14.5,-1340,6
1114,747,V,LongBeachState,47,43,90,NL,NL,740,NL
1114,748,H,BYU,46,49,95,12.5,13.5,-1040,8
1114,749,V,WashingtonState,26,26,52,NL,NL,410,NL
1114,750,H,UTEP,32,33,65,8.5,9.5,-535,4
1114,751,V,BallState,30,42,72,137.5,141,9375,75
1114,752,H,UtahU,35,55,90,23.5,26.5,-18125,13
1114,753,V,CSNorthridge,21,37,58,NL,NL,1085,NL
1114,754,H,SanDiegoState,41,38,79,17,15.5,-1635,3.5
1114,755,V,WiscMilwaukee,32,41,73,142.5,150,480,77.5
1114,756,H,Auburn,29,54,83,10,10.5,-630,8
1114,757,V,IllinoisChicago,30,41,71,143.5,143.5,470,76
1114,758,H,Depaul,46,26,72,10.5,11,-620,2
1114,759,V,CSFullerton,22,50,72,NL,NL,310,NL
1114,760,H,SantaClara,40,49,89,9.5,8,-390,pk
1114,761,V,FresnoState,35,39,74,1,NL,-108,1.5
1114,762,H,Pepperdine,41,48,89,NL,pk,-108,NL
1114,763,V,Rice,22,32,54,138.5,133.5,225,69.5
1114,764,H,OregonState,32,35,67,9.5,6.5,-275,1
1114,765,N,VMI,32,34,66,5.5,5.5,-210,NL
1114,766,N,TheCitadel,38,27,65,NL,NL,180,NL
1114,767,V,AirForce,38,40,78,NL,NL,190,NL
1114,768,H,Army,48,36,84,6,5,-225,0.5
1114,769,N,BoiseState,35,46,81,3,2.5,-150,1
1114,770,N,SanDiego,33,42,75,NL,NL,130,NL
1114,771,N,SEMissouriSt,34,32,66,NL,NL,200,NL
1114,772,N,LoyolaMarymount,40,36,76,6,6,-240,1.5
1114,773,V,Yale,40,27,85,NL,NL,-108,NL
1114,774,H,Quinnipiac,38,29,88,1.5,1.5,-108,NL
1114,775,V,WesternCarolina,30,26,56,145,142,900,74
1114,776,H,MississippiSt,31,35,66,12.5,14,-1300,8
1114,777,V,Belmont,40,30,70,NL,1.5,-125,NL
1114,778,H,WrightState,37,36,73,1,NL,105,pk
1114,779,V,Rider,25,33,58,NL,NL,340,NL
