team,second,sixteen,eight,four,final,champion
UConn (#1),0.9768,0.8245,0.5859,0.39,0.3066,0.2122
Purdue (#4),0.963,0.7578,0.5639,0.3954,0.2491,0.1363
Houston (#3),0.9464,0.6981,0.515,0.3591,0.2214,0.1215
Iowa State (#2),0.9253,0.7472,0.4926,0.2477,0.1802,0.1093
Auburn (#5),0.8756,0.6535,0.2812,0.1475,0.0999,0.057
UNC (#7),0.9636,0.6184,0.3971,0.2432,0.0908,0.0424
Illinois (#6),0.9029,0.6403,0.3169,0.1308,0.0815,0.0422
Marquette (#8),0.8567,0.5192,0.3046,0.145,0.0724,0.029
Creighton (#9),0.8595,0.5644,0.316,0.1471,0.0698,0.0286
Tennessee (#10),0.9186,0.5469,0.3039,0.1333,0.0613,0.0247
Baylor (#14),0.8533,0.5279,0.2912,0.1487,0.0468,0.0193
Arizona (#15),0.8712,0.5234,0.2919,0.1482,0.0438,0.0181
Gonzaga (#12),0.8135,0.5231,0.2037,0.1046,0.046,0.0174
Kentucky (#13),0.8607,0.4752,0.2396,0.1021,0.0438,0.0162
Duke (#11),0.7505,0.4519,0.1758,0.0896,0.0404,0.0147
Saint Mary's (#19),0.632,0.3685,0.1734,0.0901,0.0271,0.0106
Texas Tech (#16),0.5992,0.3239,0.1594,0.0651,0.0268,0.0096
Texas (#21),0.5939,0.2843,0.1415,0.0556,0.0242,0.0076
Florida (#18),0.5506,0.2602,0.1302,0.0522,0.022,0.007
New Mexico (#29),0.657,0.3189,0.157,0.0713,0.0186,0.0068
Alabama (#24),0.6399,0.328,0.1421,0.0701,0.0178,0.0063
Wisconsin (#22),0.6077,0.3067,0.1053,0.0469,0.0183,0.0059
Nebraska (#20),0.558,0.1751,0.0915,0.0439,0.0175,0.0058
Nevada (#28),0.5803,0.2823,0.1384,0.0619,0.0165,0.0054
Kansas (#32),0.7038,0.3337,0.1016,0.0443,0.0167,0.0045
Mississippi State (#26),0.5187,0.2032,0.1045,0.0503,0.0128,0.0041
BYU (#23),0.6337,0.2411,0.0829,0.0226,0.0102,0.0037
Michigan State (#33),0.4813,0.176,0.0859,0.0411,0.0095,0.0033
San Diego State (#25),0.7501,0.264,0.0668,0.0219,0.0097,0.0032
Colorado (#30),0.4494,0.1909,0.0875,0.0303,0.0114,0.0032
South Carolina (#35),0.5307,0.2207,0.0925,0.0299,0.0097,0.0028
Texas A&M (#34),0.442,0.1196,0.0568,0.0241,0.0088,0.0025
NC State (#37),0.4008,0.1772,0.0692,0.0226,0.0075,0.0025
TCU (#36),0.522,0.1277,0.0597,0.0235,0.0073,0.0019
Colorado State (#41),0.4061,0.1593,0.0661,0.0195,0.0068,0.0019
Oregon (#42),0.4693,0.1814,0.0728,0.0225,0.0068,0.0017
Northwestern (#38),0.5116,0.0909,0.0297,0.0089,0.0034,0.0013
Utah State (#43),0.478,0.1098,0.0489,0.0183,0.0059,0.0013
Dayton (#48),0.4197,0.1715,0.0715,0.0253,0.0051,0.0012
Grand Canyon (#52),0.368,0.1664,0.0554,0.0219,0.0044,0.0012
James Madison (#50),0.3923,0.1587,0.0388,0.0134,0.004,0.001
Florida Atlantic (#40),0.4884,0.0816,0.0271,0.0077,0.0032,0.001
Washington State (#45),0.5092,0.1213,0.0414,0.0089,0.0032,0.0009
Clemson (#65),0.343,0.12,0.0401,0.012,0.0019,0.0007
Drake (#47),0.4908,0.1129,0.037,0.0077,0.0027,0.0007
College of Charleston (#57),0.3601,0.1371,0.0414,0.014,0.0024,0.0006
Duquesne (#56),0.3663,0.0988,0.0243,0.0045,0.0015,0.0002
Samford (#86),0.2962,0.0846,0.0137,0.0034,0.0007,0.0001
Vermont (#72),0.2495,0.0826,0.0156,0.0044,0.001,0.0001
Akron (#112),0.1405,0.0335,0.0064,0.001,0.0001,0.0
McNeese State (#97),0.1865,0.0586,0.008,0.0013,0.0002,0.0
Longwood (#157),0.0536,0.0073,0.0011,0.0002,0.0,0.0
Grambling (#199),0.037,0.0047,0.0004,0.0,0.0,0.0
Western Kentucky (#109),0.1433,0.0297,0.006,0.0009,0.0002,0.0
Oakland (#129),0.1393,0.0237,0.0036,0.0004,0.0,0.0
Stetson (#209),0.0232,0.0029,0.0002,0.0,0.0,0.0
Long Beach State (#139),0.1288,0.0229,0.0037,0.0007,0.0,0.0
Colgate (#125),0.1467,0.0332,0.0062,0.001,0.0,0.0
Wagner (#276),0.0364,0.0024,0.0002,0.0,0.0,0.0
South Dakota State (#118),0.0747,0.0185,0.0027,0.0002,0.0,0.0
Morehead State (#124),0.0971,0.0199,0.0021,0.0001,0.0,0.0
Yale (#92),0.1244,0.0397,0.004,0.0007,0.0002,0.0
UAB (#93),0.2499,0.0428,0.0051,0.0008,0.0001,0.0
St. Peter's (#186),0.0814,0.0095,0.0009,0.0001,0.0,0.0
