team,second,sixteen,eight,four,final,champion
"UConn (#(2, 2075.3216249928273))",0.9712,0.7821,0.5878,0.4264,0.3151,0.1918
"Houston (#(1, 2077.5729933667326))",0.9591,0.766,0.5867,0.4302,0.2776,0.1823
"Purdue (#(3, 2050.152386144396))",0.9672,0.7625,0.5381,0.3549,0.2116,0.1309
"UNC (#(6, 1957.4177520624332))",0.9757,0.6775,0.4495,0.2768,0.1304,0.058
"Tennessee (#(4, 1965.9756158992914))",0.9544,0.6256,0.3674,0.18,0.0875,0.0452
"Creighton (#(5, 1958.7854188833426))",0.8969,0.6204,0.3335,0.1584,0.0748,0.0384
"Iowa State (#(8, 1936.3231573992507))",0.8731,0.6006,0.3368,0.1409,0.079,0.0334
"Illinois (#(7, 1938.5211702037))",0.8829,0.5793,0.3427,0.1459,0.0818,0.0332
"Kentucky (#(11, 1931.6981541892444))",0.8911,0.5683,0.3194,0.1339,0.06,0.0282
"Auburn (#(9, 1934.0676010220475))",0.8503,0.5788,0.2201,0.1208,0.0657,0.0277
"Arizona (#(14, 1911.8307259018923))",0.9264,0.5428,0.324,0.1715,0.0702,0.0273
"Marquette (#(12, 1932.1203769723384))",0.8919,0.5703,0.3163,0.1316,0.0586,0.0271
"Duke (#(10, 1934.1648209680577))",0.7907,0.5541,0.2124,0.1149,0.05,0.0231
"Baylor (#(15, 1898.1505117848242))",0.8634,0.5829,0.3042,0.1559,0.062,0.0227
"Gonzaga (#(13, 1929.7799909780572))",0.8525,0.5279,0.2194,0.1101,0.0483,0.0225
"Alabama (#(18, 1883.853007920911))",0.6801,0.4067,0.1856,0.0976,0.0366,0.0129
"Kansas (#(17, 1887.2101529227846))",0.7652,0.3744,0.1338,0.0594,0.0237,0.0099
"Nevada (#(20, 1872.7780213677192))",0.5778,0.2781,0.1522,0.0712,0.0246,0.0092
"Texas Tech (#(19, 1876.490637741625))",0.7532,0.3505,0.1687,0.0585,0.0223,0.009
"Texas (#(16, 1893.5198136493202))",0.6672,0.2792,0.1366,0.053,0.0199,0.0076
"BYU (#(21, 1865.8305039759875))",0.7293,0.3286,0.1574,0.0518,0.0236,0.0072
"Saint Mary's (#(25, 1848.9938792350038))",0.6348,0.3227,0.1343,0.0623,0.0206,0.0066
"San Diego State (#(28, 1835.4049243666745))",0.8139,0.3456,0.0918,0.0375,0.0155,0.0045
"Nebraska (#(22, 1864.0442074926395))",0.5887,0.1474,0.0741,0.0326,0.0117,0.0044
