team,second,sixteen,eight,four,final,champion
Houston (#1),0.9774,0.7604,0.6326,0.4781,0.3221,0.2067
Florida (#2),0.9624,0.7404,0.5372,0.3563,0.2423,0.1427
Duke (#3),0.9621,0.7819,0.5797,0.392,0.2258,0.1313
St. John's (NY) (#4),0.9316,0.7328,0.5141,0.2747,0.1678,0.0891
Auburn (#5),0.9739,0.6586,0.4724,0.2893,0.1459,0.0724
Michigan State (#6),0.9156,0.6537,0.4538,0.2716,0.1383,0.0691
Tennessee (#7),0.9011,0.6581,0.4553,0.2062,0.1043,0.0499
Alabama (#8),0.8905,0.5811,0.35,0.1732,0.0796,0.0372
Maryland (#9),0.7931,0.4943,0.2003,0.1001,0.0514,0.0236
Texas Tech (#10),0.8461,0.5531,0.2486,0.1025,0.0491,0.0196
Arizona (#12),0.8046,0.5134,0.202,0.0984,0.0401,0.0156
Wisconsin (#14),0.8519,0.4481,0.2131,0.0889,0.0345,0.0136
Iowa State (#17),0.8353,0.4957,0.2148,0.099,0.0367,0.0126
BYU (#13),0.5816,0.3242,0.1577,0.0659,0.0264,0.0108
Gonzaga (#11),0.6747,0.1847,0.1191,0.0636,0.0268,0.0101
Saint Mary's (#16),0.7715,0.3466,0.1758,0.0708,0.0255,0.0097
UConn (#15),0.6745,0.1981,0.0981,0.0416,0.0188,0.0066
Michigan (#20),0.5554,0.3236,0.122,0.0524,0.017,0.0059
Colorado State (#18),0.5794,0.2738,0.0905,0.038,0.0162,0.0056
Louisville (#19),0.5304,0.1854,0.1034,0.0455,0.0154,0.005
Texas A&M (#26),0.6893,0.3406,0.1218,0.0486,0.0148,0.0045
Illinois (#22),0.5332,0.3205,0.1365,0.0435,0.0146,0.0043
Oregon (#24),0.6562,0.3152,0.0976,0.0393,0.0129,0.0042
Kentucky (#35),0.7439,0.3501,0.1377,0.0395,0.0127,0.0041
Clemson (#27),0.7272,0.4074,0.102,0.0435,0.0148,0.0041
Purdue (#30),0.678,0.3771,0.0929,0.0398,0.0128,0.0039
UNC (#25),0.5726,0.2848,0.107,0.0424,0.0125,0.0038
VCU (#23),0.4184,0.2035,0.0838,0.0308,0.0107,0.0038
Creighton (#21),0.4696,0.1544,0.0821,0.0343,0.0107,0.0038
Xavier (#31),0.4668,0.2688,0.1062,0.0305,0.0101,0.0032
Marquette (#29),0.4943,0.1629,0.0789,0.0301,0.0097,0.0029
New Mexico (#28),0.5057,0.1668,0.0803,0.0311,0.0094,0.0027
UC-San Diego (#32),0.4446,0.2401,0.0797,0.0312,0.0095,0.0025
Drake (#34),0.5374,0.2263,0.0748,0.0223,0.0078,0.0023
UCLA (#36),0.5757,0.1971,0.0974,0.0264,0.0081,0.0023
Baylor (#38),0.5759,0.1338,0.06,0.0215,0.0069,0.0021
Memphis (#33),0.4206,0.1685,0.0444,0.0158,0.0056,0.0016
Kansas (#37),0.5691,0.1562,0.065,0.0176,0.0059,0.0013
Ole Miss (#41),0.4274,0.182,0.0567,0.019,0.0053,0.0012
Missouri (#39),0.4626,0.1814,0.0559,0.0149,0.0046,0.0011
Utah State (#45),0.4243,0.1216,0.0513,0.0114,0.0031,0.0006
Georgia (#42),0.3253,0.0528,0.0244,0.0079,0.0025,0.0005
Arkansas (#44),0.4309,0.0961,0.0338,0.0076,0.0021,0.0005
Mississippi State (#48),0.4241,0.0787,0.029,0.0083,0.0018,0.0004
Liberty (#53),0.3438,0.113,0.0223,0.006,0.0013,0.0004
Oklahoma (#43),0.3255,0.0567,0.0186,0.0056,0.0017,0.0004
Grand Canyon (#56),0.2069,0.0634,0.0105,0.0023,0.0006,0.0001
Yale (#66),0.3107,0.0957,0.0186,0.0041,0.0007,0.0001
McNeese State (#77),0.2728,0.0903,0.0109,0.0025,0.0004,0.0001
Vanderbilt (#71),0.2285,0.0491,0.0119,0.0023,0.0005,0.0001
High Point (#65),0.322,0.1252,0.0178,0.0053,0.001,0.0001
Montana (#100),0.1481,0.0242,0.0038,0.0004,0.0001,0.0
Lipscomb (#97),0.1647,0.0375,0.0053,0.0009,0.0,0.0
Bryant (#109),0.0844,0.0166,0.0033,0.0004,0.0,0.0
Troy (#89),0.2561,0.0606,0.0104,0.0014,0.0002,0.0
Norfolk State (#155),0.0376,0.0047,0.0004,0.0,0.0,0.0
UNC Wilmington (#91),0.1539,0.0392,0.0056,0.0006,0.0001,0.0
Omaha (#120),0.0684,0.0149,0.0023,0.0002,0.0,0.0
Alabama State (#252),0.0261,0.0015,0.0001,0.0,0.0,0.0
Mount St. Mary's (#171),0.0379,0.0056,0.0006,0.0,0.0,0.0
SIU-Edwardsville (#199),0.0226,0.0022,0.0002,0.0,0.0,0.0
Robert Morris (#102),0.1095,0.0232,0.004,0.0005,0.0001,0.0
Akron (#81),0.1954,0.0584,0.0088,0.0018,0.0002,0.0
Wofford (#108),0.0989,0.0233,0.0053,0.0005,0.0,0.0
