team,first,second,sixteen,eight,four,final,champion
Michigan (#2),1.0,0.9699,0.8428,0.6674,0.5057,0.3412,0.2039
Arizona (#1),1.0,0.9801,0.8435,0.6189,0.4532,0.2908,0.1832
Duke (#3),1.0,0.966,0.7872,0.5723,0.4371,0.2612,0.1606
Florida (#4),1.0,0.9826,0.8019,0.5639,0.3436,0.1797,0.0915
Houston (#5),1.0,0.9533,0.7129,0.4684,0.2657,0.1367,0.0663
Purdue (#6),1.0,0.9489,0.7495,0.4905,0.2096,0.0999,0.0488
St. John's (NY) (#7),1.0,0.8477,0.5855,0.2432,0.1471,0.0675,0.0318
Iowa State (#9),1.0,0.9121,0.6306,0.3845,0.1623,0.0729,0.0252
Arkansas (#8),1.0,0.9211,0.6037,0.2269,0.1281,0.0588,0.0246
Illinois (#10),1.0,0.9116,0.6393,0.306,0.1415,0.065,0.0241
Michigan State (#11),1.0,0.8767,0.5937,0.3457,0.133,0.0525,0.022
UConn (#13),1.0,0.9132,0.5837,0.326,0.1192,0.048,0.0193
Gonzaga (#14),1.0,0.9028,0.626,0.3102,0.1082,0.0417,0.0155
Vanderbilt (#12),1.0,0.7983,0.5173,0.2235,0.1068,0.0433,0.0139
Virginia (#16),1.0,0.8899,0.5357,0.2657,0.0923,0.0393,0.0118
Alabama (#15),1.0,0.8277,0.5143,0.1579,0.0799,0.0332,0.011
Tennessee (#18),1.0,0.7595,0.3859,0.1811,0.0554,0.0178,0.0065
Wisconsin (#17),1.0,0.7884,0.3446,0.1007,0.045,0.0177,0.0065
UCLA (#19),1.0,0.7107,0.3234,0.153,0.0485,0.0167,0.0051
Texas Tech (#20),1.0,0.6806,0.3324,0.093,0.0419,0.0148,0.0044
Nebraska (#22),1.0,0.8684,0.3949,0.1307,0.051,0.0152,0.0041
Kansas (#24),1.0,0.9949,0.37,0.096,0.0405,0.0124,0.0031
Ohio State (#23),1.0,0.5474,0.1226,0.0504,0.0235,0.008,0.0022
Saint Mary's (#21),1.0,0.6314,0.2,0.0914,0.0314,0.0095,0.0022
Louisville (#26),1.0,0.5684,0.2267,0.0948,0.0249,0.0061,0.0016
BYU (#29),1.0,0.6296,0.2503,0.0877,0.0199,0.0053,0.0012
Santa Clara (#35),1.0,0.4587,0.1518,0.0617,0.0152,0.0038,0.0011
UNC (#34),1.0,0.4851,0.1621,0.052,0.0158,0.0038,0.001
Georgia (#32),1.0,0.6514,0.1149,0.0483,0.0183,0.0046,0.0009
VCU (#30),1.0,0.5149,0.1823,0.0548,0.0161,0.0047,0.0009
Clemson (#41),1.0,0.4527,0.086,0.0274,0.0068,0.0022,0.0008
Iowa (#36),1.0,0.5473,0.1108,0.0414,0.0122,0.0034,0.0007
Kentucky (#25),1.0,0.5413,0.2017,0.0893,0.0191,0.0052,0.0007
Utah State (#33),1.0,0.5299,0.0868,0.0293,0.0096,0.003,0.0006
South Florida (#37),1.0,0.4316,0.1524,0.051,0.0108,0.0017,0.0005
TCU (#28),1.0,0.4526,0.0859,0.0307,0.0105,0.002,0.0005
McNeese State (#50),1.0,0.2017,0.0717,0.012,0.0022,0.0006,0.0003
Miami (FL) (#40),1.0,0.5284,0.1357,0.0499,0.0083,0.0026,0.0003
Texas A&M (#39),1.0,0.3686,0.0802,0.0247,0.0067,0.0015,0.0003
UCF (#48),1.0,0.2893,0.0792,0.0237,0.0033,0.0006,0.0002
Villanova (#38),1.0,0.4701,0.0677,0.02,0.0066,0.0013,0.0002
Texas (#44),0.546,0.2137,0.0618,0.0142,0.0027,0.0008,0.0002
NC State (#51),0.454,0.1567,0.0414,0.0093,0.0018,0.0002,0.0001
SMU (#67),0.4929,0.1198,0.0291,0.006,0.001,0.0002,0.0001
Missouri (#42),1.0,0.4716,0.1063,0.0351,0.0058,0.0011,0.0001
Hofstra (#79),1.0,0.1723,0.0467,0.0042,0.0007,0.0001,0.0001
Siena (#151),1.0,0.034,0.0043,0.0004,0.0,0.0,0.0
Northern Iowa (#53),1.0,0.1523,0.0445,0.007,0.0013,0.0,0.0
North Dakota State (#96),1.0,0.1233,0.0272,0.0041,0.0003,0.0,0.0
Cal Baptist (#368),1.0,0.0051,0.0,0.0,0.0,0.0,0.0
Furman (#143),1.0,0.0868,0.0137,0.0017,0.0,0.0,0.0
LIU (#194),1.0,0.0199,0.002,0.0003,0.0,0.0,0.0
Lehigh (#250),0.9215,0.0173,0.0013,0.0,0.0,0.0,0.0
Prairie View A&M (#367),0.0785,0.0001,0.0,0.0,0.0,0.0,0.0
Queens (NC) (#158),1.0,0.0511,0.0085,0.0007,0.0,0.0,0.0
Kennesaw State (#118),1.0,0.0972,0.0205,0.0024,0.0003,0.0,0.0
Hawaii (#121),1.0,0.0789,0.0126,0.0006,0.0,0.0,0.0
High Point (#71),1.0,0.2116,0.0391,0.0033,0.0009,0.0001,0.0
Penn (#130),1.0,0.0884,0.0163,0.0023,0.0002,0.0,0.0
Troy (#128),1.0,0.1316,0.0161,0.0011,0.0,0.0,0.0
UMBC (#135),0.5898,0.0207,0.0047,0.0006,0.0003,0.0,0.0
Idaho (#160),1.0,0.0467,0.0069,0.0004,0.0,0.0,0.0
Howard (#176),0.4102,0.0094,0.0011,0.0,0.0,0.0,0.0
Saint Louis (#52),1.0,0.3486,0.0365,0.0115,0.002,0.0003,0.0
Akron (#46),1.0,0.3194,0.1066,0.0171,0.0049,0.0009,0.0
Miami (OH) (#65),0.5071,0.1207,0.0305,0.0064,0.0009,0.0001,0.0
Wright State (#125),1.0,0.1101,0.0188,0.0021,0.0001,0.0,0.0
Tennessee State (#119),1.0,0.0879,0.0159,0.0032,0.0,0.0,0.0
