team,second,sixteen,eight,four,final,champion
Michigan (#2),0.972,0.8425,0.6667,0.5045,0.3085,0.191
Arizona (#1),0.9788,0.8407,0.6138,0.4429,0.2831,0.1785
Duke (#3),0.967,0.7931,0.5776,0.4341,0.2865,0.1678
Florida (#4),0.9844,0.8007,0.5609,0.3422,0.1862,0.0936
Houston (#5),0.9534,0.7086,0.4623,0.2595,0.1372,0.066
Purdue (#6),0.9461,0.7549,0.4986,0.2213,0.1074,0.0508
St. John's (NY) (#7),0.8477,0.6216,0.2604,0.1601,0.0808,0.0354
Iowa State (#9),0.9136,0.63,0.3861,0.1584,0.0664,0.0275
Illinois (#10),0.9167,0.6423,0.3109,0.1489,0.0659,0.0256
Arkansas (#8),0.9221,0.6059,0.2312,0.1269,0.0562,0.023
Michigan State (#11),0.8812,0.6032,0.3473,0.1341,0.0613,0.0227
UConn (#13),0.9135,0.5806,0.3226,0.1201,0.0512,0.0187
Gonzaga (#14),0.9019,0.6194,0.3033,0.1092,0.0442,0.0167
Vanderbilt (#12),0.7909,0.518,0.219,0.104,0.0423,0.0157
Alabama (#15),0.8264,0.5184,0.1661,0.0864,0.03,0.0106
Virginia (#16),0.8907,0.53,0.2635,0.0891,0.0297,0.0104
Tennessee (#18),0.7511,0.3825,0.1802,0.0567,0.0179,0.0059
Wisconsin (#17),0.7852,0.3404,0.1006,0.046,0.0168,0.0057
UCLA (#19),0.7061,0.3246,0.1568,0.0481,0.0181,0.0054
Nebraska (#22),0.867,0.3885,0.1328,0.0517,0.0163,0.0042
Texas Tech (#20),0.682,0.3327,0.0887,0.0395,0.0126,0.0033
Saint Mary's (#21),0.627,0.2016,0.0939,0.0323,0.0106,0.0029
Kansas (#24),0.7702,0.2875,0.0732,0.0284,0.0084,0.0024
Louisville (#26),0.5713,0.2233,0.0903,0.0245,0.0075,0.0019
Kentucky (#25),0.5489,0.2034,0.0887,0.0234,0.0052,0.0016
Ohio State (#23),0.5542,0.1203,0.0478,0.0203,0.0065,0.0015
VCU (#30),0.5129,0.1792,0.0562,0.0177,0.0056,0.0013
BYU (#29),0.5842,0.2283,0.0791,0.0177,0.0053,0.0013
Georgia (#32),0.654,0.1146,0.047,0.0178,0.004,0.001
South Florida (#37),0.4287,0.1462,0.0534,0.0112,0.0027,0.0009
TCU (#28),0.4459,0.0827,0.0299,0.0118,0.0032,0.0008
UNC (#34),0.4872,0.1651,0.0488,0.0136,0.0032,0.0008
Santa Clara (#35),0.4511,0.1522,0.0619,0.014,0.0032,0.0008
Villanova (#38),0.4722,0.0737,0.0227,0.0071,0.0018,0.0008
Utah State (#33),0.5278,0.0828,0.0263,0.0077,0.0019,0.0006
Miami (FL) (#40),0.5336,0.126,0.0429,0.0071,0.0019,0.0005
Iowa (#36),0.5459,0.1165,0.0442,0.0135,0.0022,0.0004
Texas (#42),0.4158,0.1315,0.0353,0.007,0.0016,0.0004
Missouri (#44),0.4664,0.1095,0.037,0.0059,0.0013,0.0003
Clemson (#41),0.4541,0.0822,0.0276,0.0069,0.0013,0.0003
UCF (#48),0.2939,0.0824,0.0238,0.004,0.0009,0.0002
Saint Louis (#52),0.346,0.0376,0.01,0.0027,0.0003,0.0001
High Point (#72),0.2148,0.0411,0.0043,0.0007,0.0001,0.0001
Hofstra (#80),0.1736,0.0473,0.0043,0.0007,0.0002,0.0001
Akron (#46),0.318,0.1017,0.0168,0.0047,0.0005,0.0001
Miami (OH) (#66),0.2489,0.0692,0.0155,0.0017,0.0001,0.0001
Texas A&M (#39),0.373,0.0841,0.0261,0.0063,0.0014,0.0001
Wright State (#126),0.1093,0.0184,0.0018,0.0002,0.0,0.0
Howard (#166),0.028,0.0054,0.0004,0.0001,0.0,0.0
LIU (#194),0.0212,0.0027,0.0003,0.0,0.0,0.0
Queens (NC) (#158),0.0539,0.0096,0.0008,0.0001,0.0,0.0
Kennesaw State (#118),0.0982,0.0208,0.003,0.0003,0.0001,0.0
Hawaii (#122),0.0779,0.0125,0.0009,0.0002,0.0,0.0
Siena (#151),0.033,0.0039,0.0003,0.0,0.0,0.0
Idaho (#160),0.0466,0.0057,0.0006,0.0,0.0,0.0
Penn (#130),0.0833,0.0134,0.0011,0.0001,0.0001,0.0
Troy (#128),0.133,0.0177,0.0018,0.0002,0.0,0.0
McNeese State (#50),0.2091,0.0759,0.0137,0.0031,0.0004,0.0
Prairie View (#273),0.0156,0.0006,0.0001,0.0,0.0,0.0
Furman (#142),0.0865,0.0123,0.0014,0.0,0.0,0.0
North Dakota State (#95),0.1188,0.0272,0.0044,0.0004,0.0001,0.0
California Baptist (#83),0.2298,0.0355,0.0039,0.0006,0.0,0.0
Northern Iowa (#54),0.1523,0.0554,0.0072,0.002,0.0003,0.0
Tennessee State (#119),0.0863,0.0144,0.0024,0.0001,0.0001,0.0
