Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Gonzaga,2308.0,-4.0,+9
2,Illinois,2207.0,-1.1,+38
3,Baylor,2179.0,-2.7,-36
4,Iowa,2109.0,-0.1,-12
5,Alabama,2107.0,-0.0,+32
6,Michigan,2106.0,-0.4,+3
7,Houston,2097.0,-0.1,+28
8,Kansas,2095.0,-0.9,+10
9,Oklahoma State,2071.0,-0.2,+30
10,Texas,2065.0,-0.0,+27
11,Ohio State,2065.0,-0.2,+31
12,Virginia,2059.0,-0.5,+9
13,San Diego State,2045.0,-0.4,+26
14,Florida State,2035.0,-0.1,-8
15,Arkansas,2032.0,-0.4,-16
16,Purdue,2023.0,-0.1,-22
17,Georgia Tech,2020.0,-0.2,+23
18,UConn,2015.0,-0.1,+0
19,Villanova,2013.0,-0.0,-16
20,UNC,2012.0,-0.2,+33
21,West Virginia,2007.0,-0.2,-12
22,Loyola (IL),2001.0,-0.1,+0
23,BYU,1999.0,-0.1,-2
24,LSU,1996.0,-0.4,+29
25,Creighton,1987.0,-0.3,-33
26,Texas Tech,1980.0,-0.4,-8
27,Georgetown,1969.0,-0.0,+153
28,Duke,1969.0,-0.1,+40
29,Colorado,1966.0,-0.1,-3
30,Oregon,1964.0,-0.3,-34
31,Tennessee,1957.0,-0.2,+18
32,USC,1953.0,-0.0,-2
33,Syracuse,1952.0,-0.0,+26
34,Wisconsin,1952.0,-0.0,-0
35,Maryland,1951.0,-0.2,+12
36,Wichita State,1947.0,-0.1,-13
37,Memphis,1944.0,-0.2,+6
38,Michigan State,1939.0,-0.2,-27
39,Oklahoma,1934.0,-0.1,-7
40,Florida,1931.0,-0.3,-19
41,Utah State,1924.0,-0.1,+13
42,Clemson,1921.0,-0.0,-29
43,Louisville,1921.0,-0.2,-29
44,St. Bonaventure,1916.0,-0.1,+23
45,St. John's (NY),1913.0,-0.4,-23
46,Seton Hall,1904.0,-0.1,-2
47,Kentucky,1902.0,-0.0,-13
48,Rutgers,1902.0,-0.2,+11
49,Ole Miss,1896.0,-0.2,+7
50,Penn State,1890.0,-0.0,-0
51,UCLA,1889.0,-0.0,-21
52,VCU,1888.0,-0.0,-23
53,Oregon State,1888.0,-0.0,+81
54,NC State,1887.0,-0.1,-35
55,Missouri,1885.0,-0.2,-1
56,Xavier,1881.0,-0.0,-12
57,Arizona,1880.0,-0.3,+0
58,Virginia Tech,1873.0,-0.1,-12
59,Auburn,1870.0,-0.3,+0
60,Marquette,1863.0,-0.2,-47
61,Providence,1858.0,-0.0,-39
62,Saint Mary's,1857.0,-0.1,-4
63,Liberty,1854.0,-0.2,+0
64,Colgate,1849.0,-0.0,+13
65,Saint Louis,1848.0,-0.0,+0
66,Dayton,1847.0,-0.2,+0
67,SMU,1843.0,-0.0,-15
68,Indiana,1843.0,-0.1,-22
69,Winthrop,1841.0,-0.1,+0
70,Colorado State,1838.0,-0.3,-11
71,Davidson,1831.0,-0.1,+0
72,Western Kentucky,1829.0,-0.1,+6
73,Abilene Christian,1827.0,-0.0,+37
74,Butler,1826.0,-0.0,-10
75,Notre Dame,1825.0,-0.0,-28
76,Cincinnati,1825.0,-0.0,+14
77,Louisiana Tech,1824.0,-0.0,-18
78,Yale,1823.0,-0.3,+0
79,Mississippi State,1816.0,-0.1,-3
80,UNC Greensboro,1814.0,-0.0,+12
81,Drake,1813.0,-0.1,+0
82,Boise State,1810.0,-0.0,-23
83,UCF,1809.0,-0.0,-4
84,Ohio,1808.0,-0.0,+102
85,Buffalo,1808.0,-0.3,-12
86,Nevada,1801.0,-0.4,+15
87,North Texas,1791.0,-0.0,+68
88,UCSB,1790.0,-0.0,+38
89,Utah,1790.0,-0.0,-4
90,Furman,1790.0,-0.1,+0
91,Richmond,1788.0,-0.0,+0
92,Eastern Washington,1788.0,-0.4,+36
93,Toledo,1779.0,-0.0,-17
94,Vanderbilt,1779.0,-0.3,+12
95,Minnesota,1772.0,-0.2,+12
