Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Purdue,2029.0,-2.3,-6
2,Marquette,1971.0,-0.2,+7
3,Houston,1967.0,-0.4,+6
4,Kansas,1957.0,-0.0,-22
5,UCLA,1956.0,-0.3,+11
6,Tennessee,1949.0,-0.2,-36
7,TCU,1943.0,-0.6,-16
8,UConn,1928.0,-0.0,+11
9,Gonzaga,1927.0,-0.1,-14
10,Baylor,1924.0,-0.1,+2
11,Texas,1921.0,-0.0,+30
12,Arizona,1920.0,-0.1,+13
13,Alabama,1917.0,-0.1,+24
14,Creighton,1914.0,-0.0,+8
15,Indiana,1913.0,-0.6,-6
16,Providence,1899.0,-0.1,+5
17,Saint Mary's,1896.0,-0.1,+23
18,Iowa State,1893.0,-0.1,+20
19,Xavier,1891.0,-0.0,+21
20,Virginia,1890.0,-0.0,-7
21,Duke,1889.0,-0.5,+16
22,Arkansas,1877.0,-0.1,+22
23,Illinois,1874.0,-0.0,-3
24,Texas A&M,1874.0,-0.1,-11
25,Kansas State,1872.0,-0.0,-29
26,Miami (FL),1872.0,-0.0,+28
27,Kentucky,1871.0,-0.0,+19
28,UNC,1870.0,-0.2,-34
29,Iowa,1865.0,-0.0,+43
30,Memphis,1864.0,-0.4,-15
31,Maryland,1854.0,-0.0,+49
32,Rutgers,1853.0,-0.2,+2
33,Oklahoma State,1849.0,-0.2,+61
34,West Virginia,1845.0,-0.3,+29
35,NC State,1838.0,-0.0,+10
36,Virginia Tech,1837.0,-0.0,+3
37,USC,1836.0,-0.4,+15
38,Seton Hall,1826.0,-0.1,+29
39,Michigan State,1823.0,-0.0,-19
40,San Diego State,1822.0,-0.0,+9
41,Boise State,1822.0,-0.0,-25
42,Auburn,1821.0,-0.4,+5
43,Mississippi State,1810.0,-0.2,+28
44,Florida,1804.0,-0.2,+32
45,Penn State,1799.0,-0.0,+18
46,Michigan,1799.0,-0.1,+20
47,Wisconsin,1796.0,-0.2,+25
48,Oklahoma,1791.0,-0.3,-74
49,Ohio State,1784.0,-0.2,-25
50,Florida Atlantic,1778.0,,-2
