Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
1113,723,V,Colorado,25,37,62,147.5,150.5,475,78
1113,724,H,IowaState,30,38,68,8,10.5,-600,5.5
1113,725,V,FlaAtlantic,21,34,55,139,141,NL,73.5
1113,726,H,MichiganState,43,39,82,22.5,23.5,NL,9
1113,727,V,Elon,53,32,85,144.5,146.5,175,80
1113,728,H,CharlotteU,26,48,74,6.5,4.5,-205,7.5
1113,729,V,Drexel,34,47,81,131,127.5,415,71
1113,730,H,St.Josephs,44,38,82,11,10,-540,3
1113,731,V,JamesMadison,35,52,87,134,137.5,365,74
1113,732,H,Richmond,36,39,75,9.5,9.5,-465,5
1113,733,V,Dartmouth,33,34,67,137,136,535,74.5
1113,734,H,SetonHall,39,45,84,10.5,11,-685,5
1113,735,V,Temple,36,31,67,147,144.5,420,77.5
1113,736,H,NorthCarolina,47,44,91,8.5,9.5,-545,3
1113,739,V,Cornell,49,32,81,132,129,NL,74
1113,740,H,GeorgiaTech,57,59,116,16,17,NL,8
1113,741,V,MiamiOhio,40,32,72,140,144.5,NL,79.5
1113,742,H,Xavier,45,36,81,16,15.5,NL,7.5
1113,743,V,TexSanAntonio,28,36,64,138.5,138,850,73.5
1113,744,H,LoyolaChicago,39,37,76,13,14,-1200,5
1113,745,V,BallState,28,25,53,1.5,2.5,-140,1
1113,746,H,Bradley,27,27,54,134.5,135,120,71
1113,747,V,AirForce,38,37,75,133,130.5,200,72
1113,748,H,SoIllinois,30,47,77,5,5.5,-235,6
1113,749,V,William&Mary,51,34,85,144.5,149,670,80.5
1113,750,H,NCState,35,33,68,11,12.5,-920,11.5
1113,751,V,UAB,37,37,74,142.5,2.5,-140,2.5
1113,752,H,Auburn,40,35,75,2.5,150.5,120,82
1113,753,V,SanFrancisco,38,40,78,3.5,1.5,-120,0.5
1113,754,H,IllinoisChicago,36,39,75,145,148.5,100,80
1113,755,V,SanDiego,19,26,45,139,139.5,600,74
1113,756,H,USC,42,41,83,9,12.5,-800,4
1113,757,V,Troy,44,38,82,137.5,138.5,315,79
1113,758,H,SouthFlorida,49,28,77,8,8,-395,4
