Austin Peay,ASUN
Bellarmine,ASUN
Central Arkansas,ASUN
Eastern Kentucky,ASUN
Florida Gulf Coast,ASUN
Jacksonville,ASUN
Kennesaw State,ASUN
Lipscomb,ASUN
North Alabama,ASUN
North Florida,ASUN
Queens (NC),ASUN
Stetson,ASUN
Akron,MAC
Ball State,MAC
Bowling Green State,MAC
Buffalo,MAC
Central Michigan,MAC
Eastern Michigan,MAC
Kent State,MAC
Miami (OH),MAC
Northern Illinois,MAC
Ohio,MAC
Toledo,MAC
Western Michigan,MAC
Coppin State,MEAC
Delaware State,MEAC
Howard,MEAC
Maryland-Eastern Shore,MEAC
Morgan State,MEAC
Norfolk State,MEAC
North Carolina Central,MEAC
South Carolina State,MEAC
Albany (NY),AEAST
Binghamton,AEAST
Bryant,AEAST
Maine,AEAST
NJIT,AEAST
New Hampshire,AEAST
UMBC,AEAST
UMass-Lowell,AEAST
Vermont,AEAST
Belmont,MVALL
Bradley,MVALL
Drake,MVALL
Evansville,MVALL
Illinois State,MVALL
Indiana State,MVALL
Missouri State,MVALL
Murray State,MVALL
Northern Iowa,MVALL
Southern Illinois,MVALL
UIC,MVALL
Valparaiso,MVALL
Air Force,MWEST
Boise State,MWEST
Colorado State,MWEST
Fresno State,MWEST
Nevada,MWEST
New Mexico,MWEST
San Diego State,MWEST
San Jose State,MWEST
UNLV,MWEST
Utah State,MWEST
Wyoming,MWEST
Charlotte,American
East Carolina,American
Florida Atlantic,American
Memphis,American
North Texas,American
Rice,American
SMU,American
South Florida,American
Temple,American
Tulane,American
Tulsa,American
UAB,American
UTSA,American
Wichita State,American
Davidson,A10
Dayton,A10
Duquesne,A10
Fordham,A10
George Mason,A10
George Washington,A10
La Salle,A10
Loyola (IL),A10
Rhode Island,A10
Richmond,A10
St. Joseph's,A10
St. Bonaventure,A10
Saint Louis,A10
UMass,A10
VCU,A10
Central Connecticut,Northeast
Fairleigh Dickinson,Northeast
Le Moyne,Northeast
LIU,Northeast
Merrimack,Northeast
Sacred Heart,Northeast
Saint Francis (PA),Northeast
St. Francis (NY),Northeast
Stonehill,Northeast
Wagner,Northeast
Boston College,ACC
Clemson,ACC
Duke,ACC
Florida State,ACC
Georgia Tech,ACC
Louisville,ACC
Miami (FL),ACC
NC State,ACC
UNC,ACC
Notre Dame,ACC
Pitt,ACC
Syracuse,ACC
Virginia,ACC
Virginia Tech,ACC
Wake Forest,ACC
Eastern Illinois,Ohio Valley
Lindenwood,Ohio Valley
Little Rock,Ohio Valley
Morehead State,Ohio Valley
SIU-Edwardsville,Ohio Valley
Southeast Missouri State,Ohio Valley
Southern Indiana,Ohio Valley
Tennessee State,Ohio Valley
Tennessee Tech,Ohio Valley
UT-Martin,Ohio Valley
Western Illinois,Ohio Valley
Arizona State,PAC12
Arizona,PAC12
California,PAC12
Colorado,PAC12
Oregon,PAC12
Oregon State,PAC12
Stanford,PAC12
UCLA,PAC12
USC,PAC12
Utah,PAC12
Washington,PAC12
Washington State,PAC12
BYU,BIG12
Baylor,BIG12
Cincinnati,BIG12
Houston,BIG12
Iowa State,BIG12
Kansas,BIG12
Kansas State,BIG12
Oklahoma,BIG12
Oklahoma State,BIG12
TCU,BIG12
Texas,BIG12
Texas Tech,BIG12
UCF,BIG12
West Virginia,BIG12
Butler,BigEast
Creighton,BigEast
DePaul,BigEast
Georgetown,BigEast
Marquette,BigEast
Providence,BigEast
