0,Miss Val St,Baylor,Mon Nov  7,,0,UNC Wilmington,56,UNC,69,20221107,22.5,,,SportsReference,Exact Match,Assignment,,,Team Rankings,Exact Match,Matched
0,Brescia,Middle Tenn,Mon Nov  7,,0,North Florida,63,Gonzaga,104,20221107,30.5,,,Cairn,0,Philadelphia Biblical,,,Averett,0,0
0,Kansas Christian,Prairie View,Mon Nov  7,,0,Northern Colorado,36,Houston,83,20221107,23.5,,,Carolina,0,Piedmont International,,,Bellevue,0,0
0,Pacific,Stanford,Mon Nov  7,,0,Howard,63,Kentucky,95,20221107,24.5,,,Champion Christian,0,Champion Baptist,,,CSU Stanislaus,0,0
0,Valley Forge,James Mad,Mon Nov  7,,0,Mississippi Valley State,53,Baylor,117,20221107,44.5,,,Grace Christian University,0,Grace Bible College,,,Evergreen State,0,0
0,Johnson & Wales (NC),NC-Grnsboro,Mon Nov  7,,0,Omaha,64,Kansas,89,20221107,34,,,Johnson (Fl),0,Florida Christian College,,,Illinois-Springfield,0,0
0,Harvard,Morehouse,Mon Nov  7,,0,Jacksonville,44,Duke,71,20221107,15,,,Johnson State,0,Northern Vermont-Johnson,,,Mount St. Joseph,0,0
0,Defiance,Oakland,Mon Nov  7,,0,Sacramento State,50,UCLA,76,20221107,25.5,,,Kansas City,0,UMKC,,,Northwest University,0,0
0,Coppin State,Charlotte,Mon Nov  7,,0,St. Thomas (MN),60,Creighton,72,20221107,28.5,,,Massachusetts Liberal Arts,0,Massachusetts College,,,Ozark Christian College,0,0
0,Fisher College,Mass Lowell,Mon Nov  7,,0,North Dakota State,58,Arkansas,76,20221107,23,,,Old Westbury,0,SUNY-Old Westbury,,,Randolph,0,0
0,Milwaukee School of Engineering,WI-Milwkee,Mon Nov  7,,0,Tennessee Tech,43,Tennessee,75,20221107,35.5,,,Purchase College,0,SUNY-Purchase,,,Reinhardt,0,0
0,Warren Wilson,App State,Mon Nov  7,,0,UTEP,57,Texas,72,20221107,21.5,,,St. Elizabeth,0,College of Saint Elizabeth,,,SAGU American Indian College,0,0
0,New Orleans,Butler,Mon Nov  7,,0,Morehead State,53,Indiana,88,20221107,24.5,,,St. Thomas (MN),0,St. Thomas,,,Siena Heights,0,0
0,La Salle,Villanova,Mon Nov  7,,0,Arkansas-Pine Bluff,72,TCU,73,20221107,35,,,TCNJ,0,New Jersey,,,Southwestern Assemblies of God,0,0
0,IPFW,Michigan,Mon Nov  7,,0,George Mason,52,Auburn,70,20221107,10,,,Texas Southern,0,TX Southern,,,Southwestern Christian,0,0
0,Howard,Kentucky,Mon Nov  7,,0,La Salle,68,Villanova,81,20221107,15,,,Texas-Rio Grande Valley,0,TX-Pan Am,,,SUNY-Canton,0,0
0,Merrimack,St Johns,Mon Nov  7,,0,Nicholls State,75,Arizona,117,20221107,25,,,UNC,0,N Carolina,,,TX-Pan Am,0,1
0,Lindenwood,Dayton,Mon Nov  7,,0,North Carolina Central,61,Virginia,73,20221107,24.5,,,Westminster (PA),0,Westminster,,,University of Science and Arts,0,0
0,St Fran (PA),St Bonavent,Mon Nov  7,,0,Cal State Fullerton,57,San Diego State,80,20221107,23.5,,,Westminster (UT),0,Westminster College,,,Westminster,0,1
0,Emory & Henry,E Tenn St,Mon Nov  7,,0,Longwood,54,Alabama,75,20221107,14.5,,,Abilene Christian,0,Abl Christian,,,Westminster College,0,1
0,Regent University,Liberty,Mon Nov  7,,0,Florida A&M,45,Oregon,80,20221107,30.5,,,Academy of Art,1,Academy of Art,,,WI-Milwkee,0,0
0,Air Force,Bowling Grn,Mon Nov  7,,0,Purdue-Fort Wayne,56,Michigan,75,20221107,16,,,Air Force,1,Air Force,,,Wilkes University,0,0
0,Marshall,Queens,Mon Nov  7,,0,Eastern Illinois,57,Illinois,87,20221107,31,,,Akron,1,Akron,,,Williams Baptist College,0,0
0,Virginia State,Geo Wshgtn,Mon Nov  7,,0,Lindenwood,46,Dayton,73,20221107,31,,,Alabama A&M,0,Alab A&M,,,WV Wesleyan,0,0
0,Sarah Lawrence,Yale,Mon Nov  7,,0,Northwestern State,49,Texas Tech,73,20221107,28,,,Alabama,1,Alabama,,,TX Southern,0,1
0,Brown,Vermont,Mon Nov  7,,0,Brescia,52,Middle Tennessee,79,20221107,NL,,,Alabama State,0,Alabama St,,,Martin Methodist,0,1
0,Quinnipiac,Rhode Island,Mon Nov  7,,0,Kansas Christian,79,Prairie View,94,20221107,NL,,,Albany (NY),0,Albany,,,Champion Baptist,0,1
0,Manhattan,VCU,Mon Nov  7,,0,Pacific,78,Stanford,88,20221107,15,,,Albany State (GA),1,Albany State (GA),,,College of Saint Elizabeth,0,1
0,U Penn,Iona,Mon Nov  7,,0,Valley Forge,38,James Madison,123,20221107,NL,,,Albertus Magnus,0,Albertus Magnus College,,,Florida Christian College,0,1
0,Maryland ES,Old Dominion,Mon Nov  7,,0,Johnson & Wales (NC),60,UNC Greensboro,93,20221107,NL,,,Alcorn State,1,Alcorn State,,,Grace Bible College,0,1
0,Albany,Towson,Mon Nov  7,,0,Defiance,27,Oakland,92,20221107,NL,,,Alice Lloyd,1,Alice Lloyd,,,Massachusetts College,0,1
0,Hsn Christian,Florida Intl,Mon Nov  7,,0,Warren Wilson,74,Appalachian State,142,20221107,NL,,,Allen,1,Allen,,,N Carolina,0,1
0,Chaminade,Cincinnati,Mon Nov  7,,0,New Orleans,53,Butler,89,20221107,18.5,,,Alma,0,Alma College,,,New Jersey,0,1
0,Wagner,Temple,Mon Nov  7,,0,Coppin State,59,Charlotte,82,20221107,10.5,,,American,1,American,,,Northern Vermont-Johnson,0,1
0,Kent State,N Kentucky,Mon Nov  7,,0,Loyola (MD),66,DePaul,72,20221107,13.5,,,Anderson (IN),1,Anderson (IN),,,Philadelphia Biblical,0,1
0,Notre Dame College,Cleveland St,Mon Nov  7,,0,Fisher College,43,UMass-Lowell,108,20221107,NL,,,Anderson (SC),1,Anderson (SC),,,Piedmont International,0,1
0,Lynn,Fla Atlantic,Mon Nov  7,,0,Merrimack,72,St. John's (NY),97,20221107,21,,,Antelope Valley,1,Antelope Valley,,,SUNY-Old Westbury,0,1
0,Bob Jones,Wofford,Mon Nov  7,,0,South Dakota State,80,Akron,81,20221107,4,,,Appalachian State,0,App State,,,SUNY-Purchase,0,1
0,Niagara,Maryland,Mon Nov  7,,0,Alabama State,70,UAB,111,20221107,26,,,Little Rock,0,AR Lit Rock,,,UMKC,0,1
0,Beth-Cook,Iowa,Mon Nov  7,,0,Tarleton State,59,Arizona State,62,20221107,14,,,Arcadia,1,Arcadia,,,IPFW,0,1
0,Morehead St,Indiana,Mon Nov  7,,0,Keystone,65,Army,110,20221107,NL,,,Arizona,1,Arizona,,,Sac State,0,1
