first,second,sixteen,eight,four,final,champion
Duke,Duke,Duke,Duke,Michigan State,Texas Tech,Virginia
North Dakota State,UCF,Virginia Tech,Michigan State,Texas Tech,Virginia,
VCU,Liberty,LSU,Gonzaga,Virginia,,
UCF,Viginia Tech,Michigan State,Texas Tech,Auburn,,
Mississippi State,Maryland,Gonzaga,Virginia,,,
Liberty,LSU,Florida State,Purdue,,,
Virginia Tech,Minnesota,Texas Tech,Auburn,,,
Saint Louis,Michigan State,Michigan,Kentucky,,,
Maryland,Gonzaga,Virginia,,,,
Belmont,Baylor,Oregon,,,,
LSU,Murray State,Purdue,,,,
Yale,Florida State,Tennessee,,,,
Louisville,Buffalo,UNC,,,,
Minnesota,Texas Tech,Auburn,,,,
Michigan State,Florida,Houston,,,,
Bradley,Michigan,Kentucky,,,,
Gonzaga,Virginia,,,,,
Fairleigh Dickinson,Oklahoma,,,,,
Syracuse,Oregon,,,,,
Baylor,UC-Irvine,,,,,
Marquette,Villanova,,,,,
Murray State,Purdue,,,,,
Florida State,Iowa,,,,,
Vermont,Tennessee,,,,,
Buffalo,UNC,,,,,
Arizona State,Washington,,,,,
Texas Tech,Auburn,,,,,
Northern Kentucky,Kansas,,,,,
Nevada,Ohio State,,,,,
Florida,Houston,,,,,
Michigan,Wofford,,,,,
Montana,Kentucky,,,,,
Virginia,,,,,,
Gardner-Webb,,,,,,
Ole Miss,,,,,,
Oklahoma,,,,,,
Wisconsin,,,,,,
Oregon,,,,,,
Kansas State,,,,,,
UC-Irvine,,,,,,
Villanova,,,,,,
Saint Mary's,,,,,,
Purdue,,,,,,
Old Dominion,,,,,,
Cincinnati,,,,,,
Iowa,,,,,,
Tennessee,,,,,,
Colgate,,,,,,
UNC,,,,,,
Iona,,,,,,
Utah State,,,,,,
Washington,,,,,,
Auburn,,,,,,
New Mexico State,,,,,,
Kansas,,,,,,
Northeastern,,,,,,
Iowa State,,,,,,
Ohio State,,,,,,
Houston,,,,,,
Georgia State,,,,,,
Wofford,,,,,,
Seton Hall,,,,,,
Kentucky,,,,,,
Abilene Christian,,,,,,
